-12,-8,24,0,0,0,1
-12,-8,26,0,0,0,1
-12,-6,24,0,0,0,1
-12,-6,26,0,0,0,1
-12,-6,28,0,0,0,1
-12,-4,24,0,0,0,1
-12,-4,26,0,0,0,1
-12,-4,28,0,0,0,1
-12,-2,24,0,0,0,1
-12,-2,26,0,0,0,1
-12,-2,28,0,0,0,1
-12,0,24,0,0,0,1
-12,0,26,0,0,0,1
-12,0,28,0,0,0,1
-12,2,24,0,0,0,1
-12,2,26,0,0,0,1
-12,2,28,0,0,0,1
-12,4,24,0,0,0,1
-12,4,26,0,0,0,1
-12,4,28,0,0,0,1
-12,6,24,0,0,0,1
-12,6,26,0,0,0,1
-12,6,28,0,0,0,1
-12,8,24,0,0,0,1
-12,8,26,0,0,0,1
-10,-10,14,-0.19509,0,0,0.980785
-10,-10,16,-0.19509,0,0,0.980785
-10,-10,26,0,0,0,1
-10,-8,16,-0.19509,0,0,0.980785
-10,-8,18,-0.19509,0,0,0.980785
-10,-8,20,0,0,0,1
-10,-8,22,0,0,0,1
-10,-8,24,0,0,0,1
-10,-8,26,0,0,0,1
-10,-8,28,0,0,0,1
-10,-6,16,-0.19509,0,0,0.980785
-10,-6,18,-0.19509,0,0,0.980785
-10,-6,20,0,0,0,1
-10,-6,22,0,0,0,1
-10,-6,24,0,0,0,1
-10,-6,26,0,0,0,1
-10,-6,28,0,0,0,1
-10,-4,14,0,-0.19509,0,0.980785
-10,-4,16,0,-0.19509,0,0.980785
-10,-4,18,-0.19509,0,0,0.980785
-10,-4,20,0,0,0,1
-10,-4,22,0,0,0,1
-10,-4,24,0,0,0,1
-10,-4,26,0,0,0,1
-10,-4,28,0,0,0,1
-10,-2,14,0,-0.19509,0,0.980785
-10,-2,16,0,-0.19509,0,0.980785
-10,-2,18,-0.19509,0,0,0.980785
-10,-2,20,0,0,0,1
-10,-2,22,0,0,0,1
-10,-2,24,0,0,0,1
-10,-2,26,0,0,0,1
-10,-2,28,0,0,0,1
-10,0,12,0,-0.19509,0,0.980785
-10,0,14,0,-0.19509,0,0.980785
